Titre,métier_sc,loc_sc,contrat,Titre_propre,Salaire,range_salaire,x_min,x_max,Salaire_avg
DEVOPS / Freelance,devops,Paris,freelance,devops freelance,0,20 - 33.0,20.0,33.0,20.0
INGENIEUR DEVOPS $U / Freelance,devops,Paris,freelance,ingenieur devops u freelance,0,20 - 33.0,20.0,33.0,20.0
Expert DevOPS / Freelance,devops,Paris,freelance,expert devops freelance,0,20 - 33.0,20.0,33.0,20.0
Ingénieur Production DevOps Cloud / Freelance,devops,Paris,freelance,ingénieur production devops cloud freelance,0,20 - 33.0,20.0,33.0,20.0
Consultant DevOps Linux secteur multimédia F/H,devops,Paris,cdi,consultant devops linux secteur multimédia f h,3,56.0 - 77.5,56.0,77.5,56.0
ARCHITECTE TECHNIQUE SI / DEVOPS / Freelance,devops,Paris,freelance,architecte technique si devops freelance,0,20 - 33.0,20.0,33.0,20.0
INGÉNIEUR DEVOPS (H/F),devops,Paris,cdi,ingénieur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps,devops,Paris,cdi,devops,3,56.0 - 77.5,56.0,77.5,56.0
Administrateur Système ou DevOps avec expérience AWS,devops,Paris,,administrateur système ou devops avec expérience aws,3,56.0 - 77.5,56.0,77.5,56.0
Expert Intégrateur en solutions « DevOps H/F,devops,Paris,cdi,expert intégrateur en solutions devops h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps (H/F),devops,Paris,,devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Consultant devOps,devops,Paris,,consultant devops,3,56.0 - 77.5,56.0,77.5,56.0
DevOps Engineer,devops,Paris,,devops engineer,3,56.0 - 77.5,56.0,77.5,56.0
Devops / Freelance,devops,Paris,freelance,devops freelance,0,20 - 33.0,20.0,33.0,20.0
Consultant DevOps CD/CI / Freelance,devops,Paris,freelance,consultant devops cd ci freelance,0,20 - 33.0,20.0,33.0,20.0
Ingénieur Devops FULLSTACK sénior / Freelance,devops,Paris,freelance,ingénieur devops fullstack sénior freelance,0,20 - 33.0,20.0,33.0,20.0
Tech Lead DevOps / Freelance,devops,Paris,freelance,tech lead devops freelance,0,20 - 33.0,20.0,33.0,20.0
Ingénieur DevOps/Kubernetes Junior (H/F),devops,Paris,cdi,ingénieur devops kubernetes junior h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur devops (H/F),devops,Paris,cdi,ingénieur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOPS engineer,devops,Paris,,devops engineer,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieurs DevOps (H/F),devops,Paris,,ingénieurs devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieurs Systèmes / DevOps,devops,Paris,cdi,ingénieurs systèmes devops,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Devops F/H,devops,Paris,cdi,ingénieur devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Intégrateur DevOps F/H,devops,Paris,cdi,intégrateur devops f h,3,56.0 - 77.5,56.0,77.5,56.0
ingénieur DevOps F/H,devops,Paris,cdi,ingénieur devops f h,3,56.0 - 77.5,56.0,77.5,56.0
DevOps Manager (F/M),devops,Paris,,devops manager f m,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Système Windows / DevOps F/H,devops,Paris,cdi,ingénieur système windows devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps F/H,devops,Paris,cdi,ingénieur devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Azure DevOps,devops,Paris,cdi,azure devops,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps/kubernetes Confirmé (H/F),devops,Paris,cdi,ingénieur devops kubernetes confirmé h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps / SRE AWS - Société dans l'économie collaborative (H/...,devops,Paris,cdi,devops sre aws société dans l économie collaborative h,3,56.0 - 77.5,56.0,77.5,56.0
Coach DevOps F/H,devops,Paris,cdi,coach devops f h,3,56.0 - 77.5,56.0,77.5,56.0
DevOps Google Cloud Platform - App live streaming (H/F),devops,Paris,cdi,devops google cloud platform app live streaming h f,3,56.0 - 77.5,56.0,77.5,56.0
ADMINSYS LINUX // DEVOPS,devops,Paris,cdi,adminsys linux devops,3,56.0 - 77.5,56.0,77.5,56.0
Consultant Cloud / DevOps F/H,devops,Paris,cdi,consultant cloud devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Lead back-end Laravel (API/Elasticsearch) - Casquette devOps...,devops,Paris,cdi,lead back end laravel api elasticsearch casquette devops,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur système Linux devOps,devops,Paris,cdi,ingénieur système linux devops,3,56.0 - 77.5,56.0,77.5,56.0
DevOps Cloud Junior (H/F),devops,Paris,stage,devops cloud junior h f,3,56.0 - 77.5,56.0,77.5,56.0
Consultant DevOps (H/F),devops,Paris,cdi,consultant devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Linux Devops - 78 F/H,devops,Paris,cdi,ingénieur linux devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Tech Lead DevOps / Freelance,devops,Paris,freelance,tech lead devops freelance,0,20 - 33.0,20.0,33.0,20.0
Devops Junior,devops,Paris,,devops junior,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur devOps H/F,devops,Paris,cdi,ingénieur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Architecte DevOps,devops,Paris,,architecte devops,3,56.0 - 77.5,56.0,77.5,56.0
Stage – Devops – Plugins d’intégration H/F,devops,Paris,stage,stage devops plugins d intégration h f,3,56.0 - 77.5,56.0,77.5,56.0
Spécialiste DevOps F/H,devops,Paris,cdi,spécialiste devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Administrateur DevOps (H/F),devops,Paris,cdi,administrateur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps Engineer F/H,devops,Paris,cdi,devops engineer f h,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps (H/F),devops,Paris,cdi,ingénieur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Système Windows - DevOps (H/F),devops,Paris,cdi,ingénieur système windows devops h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps AWS – Architecture micro-services,devops,Paris,cdi,devops aws architecture micro services,3,56.0 - 77.5,56.0,77.5,56.0
1ER DEVOPS (2/3 ANS) #CI/CD #AUTOMATISATION #DOCKER #CLOUD #...,devops,Paris,cdi,er devops ans ci cd automatisation docker cloud,3,56.0 - 77.5,56.0,77.5,56.0
DevOps,devops,Paris,cdi,devops,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DEVOPS Unix/Linux (H/F),devops,Paris,cdi,ingénieur devops unix linux h f,3,56.0 - 77.5,56.0,77.5,56.0
Architectes / DevOps – H/F,devops,Paris,,architectes devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DévOps (H/F),devops,Paris,cdi,ingénieur dévops h f,3,56.0 - 77.5,56.0,77.5,56.0
QA Engineer - DevOps H/F,devops,Paris,,qa engineer devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Devops Paris (H/F) / Freelance,devops,Paris,freelance,ingénieur devops paris h f freelance,0,20 - 33.0,20.0,33.0,20.0
Ingénieur système LINUX / DEVOPS / CLOUD (H/F) - Boulogne-Bi...,devops,Paris,,ingénieur système linux devops cloud h f boulogne bi,3,56.0 - 77.5,56.0,77.5,56.0
Stage devops plast'if,devops,Paris,stage,stage devops plast if,3,56.0 - 77.5,56.0,77.5,56.0
DevOps / Kubernetes / Freelance,devops,Paris,,devops kubernetes freelance,0,20 - 33.0,20.0,33.0,20.0
Architecte Cloud/DevOps / Freelance,devops,Paris,freelance,architecte cloud devops freelance,0,20 - 33.0,20.0,33.0,20.0
Consultant devops,devops,Paris,,consultant devops,3,56.0 - 77.5,56.0,77.5,56.0
CDI - Ingénieur DevOps H/F,devops,Paris,,cdi ingénieur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps Application Server Engineer,devops,Paris,,devops application server engineer,3,56.0 - 77.5,56.0,77.5,56.0
DevOps Engineer (M/F),devops,Paris,cdi,devops engineer m f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps h/f en alternance,devops,Paris,apprentissage,devops h f en alternance,3,56.0 - 77.5,56.0,77.5,56.0
DevOps Engineer,devops,Paris,,devops engineer,3,56.0 - 77.5,56.0,77.5,56.0
Architecte DevOps (H/F),devops,Paris,,architecte devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Devops F/H,devops,Paris,cdi,ingénieur devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps (F/H) / Freelance,devops,Paris,freelance,ingénieur devops f h freelance,0,20 - 33.0,20.0,33.0,20.0
Intégrateur Technique DevOps H/F,devops,Paris,,intégrateur technique devops h f,3,56.0 - 77.5,56.0,77.5,56.0
ADMIN SYS/DEVOPS - CONFIRMÉ (3/4 ANS XP) #ANSIBLE #KUBERNETE...,devops,Paris,cdi,admin sys devops confirmé ans xp ansible kubernete,3,56.0 - 77.5,56.0,77.5,56.0
Consultant DevOps Azure (H/F),devops,Paris,cdi,consultant devops azure h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur·e DevOps – Start-up de la MedTech,devops,Paris,,ingénieur e devops start up de la medtech,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Système DevOps (H/F),devops,Paris,,ingénieur système devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Système DEVOPS (H/F) H/F,devops,Paris,,ingénieur système devops h f h f,3,56.0 - 77.5,56.0,77.5,56.0
Alternant ingénieur infrastructures devops H/F,devops,Paris,apprentissage,alternant ingénieur infrastructures devops h f,3,56.0 - 77.5,56.0,77.5,56.0
CDI - Ingénieur(e) DevOps/ SRE,devops,Paris,,cdi ingénieur e devops sre,3,56.0 - 77.5,56.0,77.5,56.0
TREEPTIK | Paris | DevOps Consultant Dev H/F,devops,Paris,,treeptik paris devops consultant dev h f,3,56.0 - 77.5,56.0,77.5,56.0
TREEPTIK | Paris | Devops Consultant Ops H/F,devops,Paris,,treeptik paris devops consultant ops h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps / DevSecOps PatrOwl H/F,devops,Paris,cdi,devops devsecops patrowl h f,3,56.0 - 77.5,56.0,77.5,56.0
Devops au pôle technique géoportail,devops,Paris,cdd,devops au pôle technique géoportail,3,56.0 - 77.5,56.0,77.5,56.0
Stage DevOps PatrOwl,devops,Paris,stage,stage devops patrowl,3,56.0 - 77.5,56.0,77.5,56.0
INGENIEUR SYSTEME LINUX DEVOPS H/F,devops,Paris,cdi,ingenieur systeme linux devops h f,3,56.0 - 77.5,56.0,77.5,56.0
IP DEVOPS x30 H/F,devops,Paris,,ip devops x h f,3,56.0 - 77.5,56.0,77.5,56.0
PROMO DEVOPS H/F,devops,Paris,,promo devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DévOps (H/F),devops,Paris,,ingénieur dévops h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps Cloud Senior (H/F),devops,Paris,cdi,devops cloud senior h f,3,56.0 - 77.5,56.0,77.5,56.0
INGENIEUR DEVOPS H/F,devops,Paris,,ingenieur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
INGENIEUR AUTOMATISATION CLOUD DEVOPS H/F,devops,Paris,,ingenieur automatisation cloud devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Technical Architect (DevOps & Cloud),devops,Paris,,technical architect devops cloud,3,56.0 - 77.5,56.0,77.5,56.0
Administrateur Système DevOps,devops,Paris,cdi,administrateur système devops,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps 3DEXCITE H/F,devops,Paris,cdd,ingénieur devops dexcite h f,3,56.0 - 77.5,56.0,77.5,56.0
DévOps Python,devops,Paris,cdi,dévops python,3,56.0 - 77.5,56.0,77.5,56.0
DevOps,devops,Paris,cdi,devops,3,56.0 - 77.5,56.0,77.5,56.0
Lead DevOps,devops,Paris,cdi,lead devops,3,56.0 - 77.5,56.0,77.5,56.0
Lead DevOps Cloud AWS,devops,Paris,cdi,lead devops cloud aws,3,56.0 - 77.5,56.0,77.5,56.0
Devops H/F,devops,Paris,cdi,devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Devops - Expert Kubernetes H/F,devops,Paris,cdi,devops expert kubernetes h f,3,56.0 - 77.5,56.0,77.5,56.0
Devops - Spécialiste Openstack H/F,devops,Paris,cdi,devops spécialiste openstack h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps,devops,Paris,cdi,devops,3,56.0 - 77.5,56.0,77.5,56.0
Devops SRE – LA marketplace de référence en France,devops,Paris,cdi,devops sre la marketplace de référence en france,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps,devops,Paris,cdi,ingénieur devops,3,56.0 - 77.5,56.0,77.5,56.0
Architecte technique Cloud DevOps (H/F),devops,Paris,,architecte technique cloud devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Practice Manager Cloud & DevOps (H/F),devops,Paris,cdi,practice manager cloud devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Consultant devops,devops,Paris,,consultant devops,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur devops f/h,devops,Paris,cdi,ingénieur devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Devops – Performance énergétique H/F,devops,Paris,cdi,devops performance énergétique h f,3,56.0 - 77.5,56.0,77.5,56.0
Devops SRE – Leader e-commerce,devops,Paris,cdi,devops sre leader e commerce,3,56.0 - 77.5,56.0,77.5,56.0
Devops @data engineering – Plateforme leader français,devops,Paris,cdi,devops data engineering plateforme leader français,3,56.0 - 77.5,56.0,77.5,56.0
INGÉNIEUR DEVOPS - CONTINUOUS DELIVERY F/H,devops,Paris,cdi,ingénieur devops continuous delivery f h,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Système DEVOPS Lead / pour la DSI – Paris – H/F,devops,Paris,,ingénieur système devops lead pour la dsi paris h f,3,56.0 - 77.5,56.0,77.5,56.0
Intégrateur DEVOPS,devops,Paris,cdd,intégrateur devops,3,56.0 - 77.5,56.0,77.5,56.0
Consultant Cloud / DevOps,devops,Paris,cdi,consultant cloud devops,3,56.0 - 77.5,56.0,77.5,56.0
R&D 3DEXPERIENCE Platform DevOPs H/F,devops,Paris,,r d dexperience platform devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Site Reliability Engineer (culture DevOps),devops,Paris,cdi,site reliability engineer culture devops,3,56.0 - 77.5,56.0,77.5,56.0
Devops F/H,devops,Paris,cdi,devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur de Production DevOps Linux (F/H),devops,Paris,cdi,ingénieur de production devops linux f h,3,56.0 - 77.5,56.0,77.5,56.0
INGÉNIEUR SYSTÈME ORIENTÉ DEVOPS(H/F),devops,Paris,cdi,ingénieur système orienté devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Système Production DevOps H/F,devops,Paris,cdi,ingénieur système production devops h f,3,56.0 - 77.5,56.0,77.5,56.0
INGÉNIEUR DEVOPS H/F,devops,Paris,cdi,ingénieur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps,devops,Paris,cdi,ingénieur devops,3,56.0 - 77.5,56.0,77.5,56.0
CONSULTANT DEVOPS H/F NANCY,devops,Paris,,consultant devops h f nancy,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur système Linux/DevOps,devops,Paris,,ingénieur système linux devops,3,56.0 - 77.5,56.0,77.5,56.0
Intégrateur DevOps H/F,devops,Paris,cdi,intégrateur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Stage DevOps,devops,Paris,stage,stage devops,3,56.0 - 77.5,56.0,77.5,56.0
Software Engineer C# / DevOps,devops,Paris,cdi,software engineer c devops,3,56.0 - 77.5,56.0,77.5,56.0
Admin Système Cloud Devops F/H,devops,Paris,,admin système cloud devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur(e) DevOps (H/F),devops,Paris,,ingénieur e devops h f,3,56.0 - 77.5,56.0,77.5,56.0
"Internship - System and Network Engineer (DevOps) - Paris, F...",devops,Paris,stage,internship system and network engineer devops paris f,3,56.0 - 77.5,56.0,77.5,56.0
Architecte IT spécialisé DevOps,devops,Paris,,architecte it spécialisé devops,3,56.0 - 77.5,56.0,77.5,56.0
Expert DevOps,devops,Paris,,expert devops,3,56.0 - 77.5,56.0,77.5,56.0
Consultant en Agilité : DevOps et Architecture d’Entreprise,devops,Paris,cdi,consultant en agilité devops et architecture d entreprise,3,56.0 - 77.5,56.0,77.5,56.0
RESG/GTS - Public Cloud DevOps (AWS / Azure)-(H/F),devops,Paris,,resg gts public cloud devops aws azure h f,2,43.5 - 56.0,43.5,56.0,43.5
DevOps Engineer,devops,Paris,,devops engineer,3,56.0 - 77.5,56.0,77.5,56.0
DevOps / Ingénieurs Systèmes Openstack H/F,devops,Paris,cdi,devops ingénieurs systèmes openstack h f,3,56.0 - 77.5,56.0,77.5,56.0
Consultant Devops,devops,Paris,,consultant devops,3,56.0 - 77.5,56.0,77.5,56.0
INGENIEUR DEVOPS F/H,devops,Paris,cdi,ingenieur devops f h,3,56.0 - 77.5,56.0,77.5,56.0
CONSULTANT DEVOPS DOMAINE SYSTEMES,devops,Paris,,consultant devops domaine systemes,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DévOps Logiciel de Sécurité H/F,devops,Paris,,ingénieur dévops logiciel de sécurité h f,3,56.0 - 77.5,56.0,77.5,56.0
CONSULTANT DEVOPS DOMAINE APPLICATIVE,devops,Paris,,consultant devops domaine applicative,3,56.0 - 77.5,56.0,77.5,56.0
Ingenieur devops,devops,Paris,,ingenieur devops,3,56.0 - 77.5,56.0,77.5,56.0
CONSULTANT DEVOPS INDUSTRIALISATION,devops,Paris,,consultant devops industrialisation,3,56.0 - 77.5,56.0,77.5,56.0
DEVOPS .NET (F/H),devops,Paris,cdi,devops net f h,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Intégrateur Devops (F/H),devops,Paris,cdi,ingénieur intégrateur devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Apprentissage : DEVOPS en Intégration Continue (F/H),devops,Paris,,apprentissage devops en intégration continue f h,3,56.0 - 77.5,56.0,77.5,56.0
CONSULTANT DEVOPS DOMAINE SYSTEMES,devops,Paris,,consultant devops domaine systemes,3,56.0 - 77.5,56.0,77.5,56.0
CONSULTANT DEVOPS DOMAINE APPLICATIVE,devops,Paris,,consultant devops domaine applicative,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DEVOPS,devops,Paris,cdi,ingénieur devops,3,56.0 - 77.5,56.0,77.5,56.0
Conseil en stratégie et mise en œuvre DevOps (H/F),devops,Paris,,conseil en stratégie et mise en œuvre devops h f,3,56.0 - 77.5,56.0,77.5,56.0
DEVOPS H/F,devops,Paris,cdi,devops h f,3,56.0 - 77.5,56.0,77.5,56.0
CONSULTANT DEVOPS INDUSTRIALISATION,devops,Paris,,consultant devops industrialisation,3,56.0 - 77.5,56.0,77.5,56.0
devOps - H/F / Freelance,devops,Paris,freelance,devops h f freelance,0,20 - 33.0,20.0,33.0,20.0
Intégrateur Devops IIS Containers / Freelance,devops,Paris,freelance,intégrateur devops iis containers freelance,0,20 - 33.0,20.0,33.0,20.0
Consultant DevOps Azure expérimenté (75) / Freelance,devops,Paris,freelance,consultant devops azure expérimenté freelance,0,20 - 33.0,20.0,33.0,20.0
Ingénieur·e DevOps – Cyber Tech,devops,Paris,stage,ingénieur e devops cyber tech,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps H/F CDI,devops,Paris,cdi,ingénieur devops h f cdi,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur de production Devops H/F,devops,Paris,cdd,ingénieur de production devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Expert DevOps H/F,devops,Paris,,expert devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Intern - DevOps,devops,Paris,stage,intern devops,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Système DEVOPS / Freelance,devops,Paris,freelance,ingénieur système devops freelance,0,20 - 33.0,20.0,33.0,20.0
Devops Confirmé H/F,devops,Paris,cdi,devops confirmé h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps – Équipe Infrastructure et Industrialisatio...,devops,Paris,,ingénieur devops équipe infrastructure et industrialisatio,3,56.0 - 77.5,56.0,77.5,56.0
Stage - Ingénieur devops-(H/F),devops,Paris,stage,stage ingénieur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps Engineer,devops,Paris,,devops engineer,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur de production DevOps H/F,devops,Paris,cdi,ingénieur de production devops h f,3,56.0 - 77.5,56.0,77.5,56.0
SRE – DevOps – Sharing Economy (H/F),devops,Paris,cdi,sre devops sharing economy h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps / R&D,devops,Paris,,ingénieur devops r d,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur développement opérationnel (DevOps) - H/F CDI - CD...,devops,Paris,cdi,ingénieur développement opérationnel devops h f cdi cd,3,56.0 - 77.5,56.0,77.5,56.0
Stagiaire Ingénieur IT DevOps – RPA (H/F),devops,Paris,stage,stagiaire ingénieur it devops rpa h f,3,56.0 - 77.5,56.0,77.5,56.0
SRE / DevOps Full AWS,devops,Paris,,sre devops full aws,3,56.0 - 77.5,56.0,77.5,56.0
Lead DevOps F/H,devops,Paris,cdi,lead devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur système LINUX / DEVOPS / CLOUD (H/F),devops,Paris,,ingénieur système linux devops cloud h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DEVOPS F/H,devops,Paris,,ingénieur devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Scrum Master DEVOPS-(H/F),devops,Paris,,scrum master devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Consultant Devops Expérimenté H/F,devops,Paris,,consultant devops expérimenté h f,3,56.0 - 77.5,56.0,77.5,56.0
Lead devops – Etoile montante French Tech,devops,Paris,cdi,lead devops etoile montante french tech,3,56.0 - 77.5,56.0,77.5,56.0
DevOps senior AWS,devops,Paris,,devops senior aws,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Système DevOps H/F,devops,Paris,cdi,ingénieur système devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur “Devops” Senior (H/F)- CDI,devops,Paris,,ingénieur devops senior h f cdi,3,56.0 - 77.5,56.0,77.5,56.0
[Technologies] Ingénieur de production DevOps (H/F),devops,Paris,,technologies ingénieur de production devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps e-santé F/H,devops,Paris,cdi,ingénieur devops e santé f h,3,56.0 - 77.5,56.0,77.5,56.0
"Spécialiste DevOps (H/F) [Paris, Nantes ou Montréal]",devops,Paris,,spécialiste devops h f paris nantes ou montréal,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps,devops,Paris,cdi,ingénieur devops,3,56.0 - 77.5,56.0,77.5,56.0
Consultant Infrastructure Cloud Devops / Freelance,devops,Paris,freelance,consultant infrastructure cloud devops freelance,0,20 - 33.0,20.0,33.0,20.0
Stagiaire Ingénieur DevOps – Csharp (H/F),devops,Paris,stage,stagiaire ingénieur devops csharp h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps (H/F),devops,Paris,,ingénieur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur développement opérationnel (DevOps) (H/F),devops,Paris,cdi,ingénieur développement opérationnel devops h f,3,56.0 - 77.5,56.0,77.5,56.0
ADMINISTRATEUR.TRICE SYSTEME/ DEVOPS CONFIRME.E H/F,devops,Paris,,administrateur trice systeme devops confirme e h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps H/F,devops,Paris,cdi,ingénieur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingenieur Linux Devops F/H,devops,Paris,,ingenieur linux devops f h,3,56.0 - 77.5,56.0,77.5,56.0
DevOps F/H,devops,Paris,cdi,devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Senior DevOps Engineer (H/F) – CDI,devops,Paris,,senior devops engineer h f cdi,3,56.0 - 77.5,56.0,77.5,56.0
Consultant DevOps,devops,Paris,cdi,consultant devops,3,56.0 - 77.5,56.0,77.5,56.0
Devops Engineer (h/f),devops,Paris,cdi,devops engineer h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps junior F/H,devops,Paris,,ingénieur devops junior f h,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps F/H,devops,Paris,cdi,ingénieur devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Systèmes Linux DevOps,devops,Paris,,ingénieur systèmes linux devops,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieurs DevOps (H/F),devops,Paris,cdi,ingénieurs devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur outils de développement / DevOps (H/F),devops,Paris,cdi,ingénieur outils de développement devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps expérimenté(e) H/F F/H,devops,Paris,,ingénieur devops expérimenté e h f f h,3,56.0 - 77.5,56.0,77.5,56.0
DévOps,devops,Paris,cdi,dévops,3,56.0 - 77.5,56.0,77.5,56.0
INGENIEUR DEVOPS JUNIOR - H/F,devops,Paris,cdi,ingenieur devops junior h f,3,56.0 - 77.5,56.0,77.5,56.0
Consultant DevOps – F/H,devops,Paris,,consultant devops f h,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur outils de développement / DevOps (H/F) / Developme...,devops,Paris,cdi,ingénieur outils de développement devops h f developme,3,56.0 - 77.5,56.0,77.5,56.0
Intégrateur DevOps (H/F),devops,Paris,,intégrateur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Linux / Devops F/H,devops,Paris,cdi,ingénieur linux devops f h,3,56.0 - 77.5,56.0,77.5,56.0
DEVOPS ENGINEER (H/F),devops,Paris,,devops engineer h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur outils de développement / DevOps (H/F) / Developme...,devops,Paris,cdi,ingénieur outils de développement devops h f developme,3,56.0 - 77.5,56.0,77.5,56.0
DevOps/SRE,devops,Paris,,devops sre,3,56.0 - 77.5,56.0,77.5,56.0
DevOps / Site Reliability Engineer H/F,devops,Paris,cdi,devops site reliability engineer h f,3,56.0 - 77.5,56.0,77.5,56.0
Expert Cloud et DevOps (h/f),devops,Paris,,expert cloud et devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur(e) Intégrateur/DevOps - H/F,devops,Paris,,ingénieur e intégrateur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur de Production DevOps Linux,devops,Paris,cdi,ingénieur de production devops linux,3,56.0 - 77.5,56.0,77.5,56.0
Responsable Technique Architectures MiddleWare et DevOps H/F,devops,Paris,cdi,responsable technique architectures middleware et devops h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps Sysadmin (H/F),devops,Paris,cdi,devops sysadmin h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur Système Devops H/F,devops,Paris,,ingénieur système devops h f,3,56.0 - 77.5,56.0,77.5,56.0
Ingénieur DevOps H/F,devops,Paris,,ingénieur devops h f,3,56.0 - 77.5,56.0,77.5,56.0
CDI Ingénieur systèmes devops H/F,devops,Paris,cdi,cdi ingénieur systèmes devops h f,3,56.0 - 77.5,56.0,77.5,56.0
DevOps (H/F),devops,Paris,cdi,devops h f,3,56.0 - 77.5,56.0,77.5,56.0
